51.5074,0.1278,Ga-Motupa,30.0,40.0
51.5074,0.1278,Morutji,2.0,90.0
51.5074,0.1278,Modjadji,5.0,150.0
51.5074,0.1278,Morapalala,8.0,220.0
51.5074,0.1278,Madumeleng,190.0,85.0
51.5074,0.1278,Matshwi,215.0,115.0
51.5074,0.1278,Mothobekhi,250.0,140.0
51.5074,0.1278,Matipane,170.0,160.0
51.5074,0.1278,Mokwakwaila,120.0,200.0
51.5074,0.1278,Polasene,260.0,180.0
51.5074,0.1278,Femane,230.0,230.0
51.5074,0.1278,Ntata,250.0,260.0
51.5074,0.1278,Bellevue,300.0,300.0
51.5074,0.1278,Block 17,240.0,330.0
51.5074,0.1278,Block 8,100.0,240.0
51.5074,0.1278,Block 12,40.0,270.0
51.5074,0.1278,Mohlabaneng,330.0,220.0
51.5074,0.1278,Khesothopa,390.0,200.0
51.5074,0.1278,Jamela,410.0,170.0
51.5074,0.1278,Ga-Motupa,30.0,40.0
51.5074,0.1278,Morutji,2.0,90.0
51.5074,0.1278,Modjadji,5.0,150.0
51.5074,0.1278,Morapalala,8.0,220.0
51.5074,0.1278,Madumeleng,190.0,85.0
51.5074,0.1278,Matshwi,215.0,115.0
51.5074,0.1278,Mothobekhi,250.0,140.0
51.5074,0.1278,Matipane,170.0,160.0
51.5074,0.1278,Mokwakwaila,120.0,200.0
51.5074,0.1278,Polasene,260.0,180.0
51.5074,0.1278,Femane,230.0,230.0
51.5074,0.1278,Ntata,250.0,260.0
51.5074,0.1278,Bellevue,300.0,300.0
51.5074,0.1278,Block 17,240.0,330.0
51.5074,0.1278,Block 8,100.0,240.0
51.5074,0.1278,Block 12,40.0,270.0
51.5074,0.1278,Mohlabaneng,330.0,220.0
51.5074,0.1278,Khesothopa,390.0,200.0
51.5074,0.1278,Jamela,410.0,170.0
51.5074,0.1278,Ga-Motupa,30.0,40.0
51.5074,0.1278,Morutji,2.0,90.0
51.5074,0.1278,Modjadji,5.0,150.0
51.5074,0.1278,Morapalala,8.0,220.0
51.5074,0.1278,Madumeleng,190.0,85.0
51.5074,0.1278,Matshwi,215.0,115.0
51.5074,0.1278,Mothobekhi,250.0,140.0
51.5074,0.1278,Matipane,170.0,160.0
51.5074,0.1278,Mokwakwaila,120.0,200.0
51.5074,0.1278,Polasene,260.0,180.0
51.5074,0.1278,Femane,230.0,230.0
51.5074,0.1278,Ntata,250.0,260.0
51.5074,0.1278,Bellevue,300.0,300.0
51.5074,0.1278,Block 17,240.0,330.0
51.5074,0.1278,Block 8,100.0,240.0
51.5074,0.1278,Block 12,40.0,270.0
51.5074,0.1278,Mohlabaneng,330.0,220.0
51.5074,0.1278,Khesothopa,390.0,200.0
51.5074,0.1278,Jamela,410.0,170.0
78.0,65.0,Polokwane,200.0,350.0
50.0,40.0,Johannesburg,40.0,300.0
